ID,USER_ID,ORDER_DATE,STATUS,_etl_loaded_at
1,1,1/1/2018,returned,2026-02-14T05:16:03.754270
8,2,1/11/2018,returned,2026-02-14T05:16:03.754270
14,40,1/17/2018,returned,2026-02-14T05:16:03.754270
18,64,1/20/2018,returned,2026-02-14T05:16:03.754270
2,3,1/2/2018,completed,2026-02-14T05:16:03.754270
3,94,1/4/2018,completed,2026-02-14T05:16:03.754270
4,50,1/5/2018,completed,2026-02-14T05:16:03.754270
5,64,1/5/2018,completed,2026-02-14T05:16:03.754270
6,54,1/7/2018,completed,2026-02-14T05:16:03.754270
7,88,1/9/2018,completed,2026-02-14T05:16:03.754270
`,53,1/12/2018,completed,2026-02-14T05:16:03.754270
10,7,1/14/2018,completed,2026-02-14T05:16:03.754270
11,99,1/14/2018,completed,2026-02-14T05:16:03.754270
12,59,1/15/2018,completed,2026-02-14T05:16:03.754270
13,84,1/17/2018,completed,2026-02-14T05:16:03.754270
15,25,1/17/2018,completed,2026-02-14T05:16:03.754270
16,39,1/18/2018,completed,2026-02-14T05:16:03.754270
17,71,1/18/2018,completed,2026-02-14T05:16:03.754270
19,54,1/22/2018,completed,2026-02-14T05:16:03.754270
20,20,1/23/2018,completed,2026-02-14T05:16:03.754270
21,71,1/23/2018,completed,2026-02-14T05:16:03.754270
22,86,1/24/2018,completed,2026-02-14T05:16:03.754270
24,3,1/27/2018,completed,2026-02-14T05:16:03.754270
25,51,1/28/2018,completed,2026-02-14T05:16:03.754270
26,32,1/28/2018,completed,2026-02-14T05:16:03.754270
27,94,1/29/2018,completed,2026-02-14T05:16:03.754270
28,8,1/29/2018,completed,2026-02-14T05:16:03.754270
29,57,1/31/2018,completed,2026-02-14T05:16:03.754270
23,22,1/26/2018,return_pending,2026-02-14T05:16:03.754270
